,release_year,imdb_score
0,1969,8.8
1,1972,8.1
2,1981,7.4
3,1982,6.9
4,1983,6.7
5,1984,6.5
6,1987,6.1
7,1988,3.8
8,1989,7.466666666666666
9,1992,3.8
10,1993,6.975
11,1994,7.266666666666667
12,1995,8.05
13,1996,5.7
14,1997,8.0
15,1998,7.859999999999999
16,1999,7.666666666666667
17,2000,7.94
18,2001,7.516666666666667
19,2002,7.828571428571429
20,2003,7.211111111111112
21,2004,6.875
22,2005,7.25
23,2006,7.958333333333332
24,2007,6.970000000000001
25,2008,7.392307692307692
26,2009,7.264705882352941
27,2010,7.31
28,2011,7.244827586206896
29,2012,7.445161290322581
30,2013,7.113513513513513
31,2014,7.286046511627907
32,2015,7.366304347826087
33,2016,7.2644927536231885
34,2017,7.135593220338983
35,2018,7.026923076923077
36,2019,7.0096428571428575
37,2020,6.8036
38,2021,6.7471014492753625
39,2022,6.55108695652174
